,,index,rate_min_windows_future,rate_max_windows_future
CE,3,"(0.151, 0.225]",-0.1638048472354196,
CE,4,"(0.225, 0.355]",-0.1878509180249419,
CE,5,"(0.355, 4.444]",-0.2515873573882825,
CE,6,"(-0.726, -0.297]",,0.31944628948169757
CE,7,"(-0.297, -0.223]",,0.265704435731132
CE,8,"(-0.223, -0.164]",,0.2573081242908224
CE,9,"(-0.164, -0.109]",,0.23868823949316262
CE,10,"(-0.109, -0.0485]",,0.22442914692528554
CE,11,"(-0.0485, 0.0]",,0.21894889378449658
CERN,0,"(-0.001, 0.0351]",-0.09208872116779147,
CERN,1,"(0.0351, 0.0948]",-0.11980176346949539,
CERN,2,"(0.0948, 0.161]",-0.12663876353112752,
CERN,3,"(0.161, 0.251]",-0.14932929168327366,
CERN,4,"(0.251, 0.405]",-0.20825718315028713,
CERN,5,"(0.405, 2.814]",-0.28885869720119745,
CERN,6,"(-0.863, -0.336]",,0.33403671702585863
CERN,7,"(-0.336, -0.245]",,0.27712073720391134
CERN,8,"(-0.245, -0.16]",,0.26003878113472323
CERN,9,"(-0.16, -0.0926]",,0.24145924351661321
CERN,10,"(-0.0926, -0.0288]",,0.22079558071016142
CERN,11,"(-0.0288, 0.0]",,0.2012664825764934
CF,0,"(-0.001, 0.0407]",-0.07448633030715668,
CF,1,"(0.0407, 0.0948]",-0.11037990251970727,
CF,2,"(0.0948, 0.163]",-0.13906264320040726,
CF,3,"(0.163, 0.256]",-0.17610841413070827,
CF,4,"(0.256, 0.431]",-0.21121974735664703,
CF,5,"(0.431, 53.057]",-0.349976104516685,
CF,6,"(-0.903, -0.354]",,0.8465817850350768
CF,7,"(-0.354, -0.248]",,0.5660385612397604
CF,8,"(-0.248, -0.178]",,0.3476192212777907
CF,9,"(-0.178, -0.12]",,0.31439325800151235
CF,10,"(-0.12, -0.052]",,0.4235228604451759
CF,11,"(-0.052, 0.0]",,0.5038851499793371
CGNX,0,"(-0.001, 0.044]",-0.09620407725592527,
CGNX,1,"(0.044, 0.103]",-0.119049176410163,
CGNX,2,"(0.103, 0.165]",-0.1410917308424421,
CGNX,3,"(0.165, 0.253]",-0.16551248227914273,
CGNX,4,"(0.253, 0.405]",-0.20624487578166883,
CGNX,5,"(0.405, 3.357]",-0.28217499370233307,
CGNX,6,"(-0.718, -0.338]",,0.38289711646269986
CGNX,7,"(-0.338, -0.242]",,0.30763292196273473
CGNX,8,"(-0.242, -0.168]",,0.2633894053772253
CGNX,9,"(-0.168, -0.105]",,0.2627639365720963
CGNX,10,"(-0.105, -0.0437]",,0.25242236035615495
CGNX,11,"(-0.0437, 0.0]",,0.21378193166995074
CHKP,0,"(-0.001, 0.0307]",-0.09381453621770332,
CHKP,1,"(0.0307, 0.0849]",-0.09845679263142734,
CHKP,2,"(0.0849, 0.146]",-0.11231331861880428,
CHKP,3,"(0.146, 0.225]",-0.1316450978940306,
CHKP,4,"(0.225, 0.353]",-0.19646451372486945,
CHKP,5,"(0.353, 3.044]",-0.2774605301135317,
CHKP,6,"(-0.576, -0.318]",,0.32097834597776664
CHKP,7,"(-0.318, -0.233]",,0.2178699659087933
CHKP,8,"(-0.233, -0.148]",,0.22499685969349553
CHKP,9,"(-0.148, -0.0771]",,0.23263573965365647
CHKP,10,"(-0.0771, -0.0199]",,0.2132470263567274
CHKP,11,"(-0.0199, 0.0]",,0.18941786592863288
CHRW,0,"(-0.001, 0.0342]",-0.089951599701507,
CHRW,1,"(0.0342, 0.0981]",-0.11089355081029342,
CHRW,2,"(0.0981, 0.171]",-0.1342887699042333,
CHRW,3,"(0.171, 0.267]",-0.162726582252647,
CHRW,4,"(0.267, 0.436]",-0.22036194509957346,
CHRW,5,"(0.436, 6.346]",-0.32581354789396255,
CHRW,6,"(-0.878, -0.339]",,0.38747234799223085
CHRW,7,"(-0.339, -0.246]",,0.2996159055163357
CHRW,8,"(-0.246, -0.171]",,0.26918766902660196
CHRW,9,"(-0.171, -0.0969]",,0.2744354046656826
CHRW,10,"(-0.0969, -0.0322]",,0.2621606117677723
CHRW,11,"(-0.0322, 0.0]",,0.25068813520627553
CI,0,"(-0.001, 0.0296]",-0.09129087833411133,
CI,1,"(0.0296, 0.0744]",-0.09434668407359419,
CI,2,"(0.0744, 0.129]",-0.10949726234933876,
CI,3,"(0.129, 0.205]",-0.1269982589664544,
CI,4,"(0.205, 0.329]",-0.1624657851467792,
CI,5,"(0.329, 3.092]",-0.24500410860033794,
CI,6,"(-0.565, -0.279]",,0.2843307963867642
CI,7,"(-0.279, -0.199]",,0.2435678641597244
CI,8,"(-0.199, -0.135]",,0.21326579964086084
CI,9,"(-0.135, -0.0818]",,0.18982571627055414
CI,10,"(-0.0818, -0.0315]",,0.1807795599619177
CI,11,"(-0.0315, 0.0]",,0.18819959458592814
CIEN,0,"(-0.001, 0.0292]",-0.08444720746541436,
CIEN,1,"(0.0292, 0.084]",-0.10385873923340437,
CIEN,2,"(0.084, 0.151]",-0.12567534334709987,
CIEN,3,"(0.151, 0.25]",-0.15067253841093092,
CIEN,4,"(0.25, 0.428]",-0.21612460599276512,
CIEN,5,"(0.428, 3.085]",-0.3132279903898878,
CIEN,6,"(-0.595, -0.34]",,0.42528311823638903
CIEN,7,"(-0.34, -0.232]",,0.2915101960223149
CIEN,8,"(-0.232, -0.149]",,0.21694453920042556
CIEN,9,"(-0.149, -0.0868]",,0.1955675714665414
CIEN,10,"(-0.0868, -0.0294]",,0.20388002205907962
CIEN,11,"(-0.0294, 0.0]",,0.22493107105450336
CL,0,"(-0.001, 0.0323]",-0.09825543233621857,
CL,1,"(0.0323, 0.0886]",-0.11424668815916068,
CL,2,"(0.0886, 0.152]",-0.12596982439271862,
CL,3,"(0.152, 0.229]",-0.15495586852107981,
CL,4,"(0.229, 0.344]",-0.18683307986283682,
CL,5,"(0.344, 3.76]",-0.23646404205437768,
CL,6,"(-0.592, -0.286]",,0.32779892456779736
CL,7,"(-0.286, -0.213]",,0.27694818355464346
CL,8,"(-0.213, -0.156]",,0.23204328548136943
CL,9,"(-0.156, -0.104]",,0.20400527991754283
CL,10,"(-0.104, -0.0481]",,0.18398094133513443
CL,11,"(-0.0481, 0.0]",,0.1853597033422357
CLX,0,"(-0.001, 0.0247]",-0.08703577135474377,
CLX,1,"(0.0247, 0.0698]",-0.09958726367961127,
CLX,2,"(0.0698, 0.118]",-0.10617946512701922,
CLX,3,"(0.118, 0.183]",-0.12492093794152302,
CLX,4,"(0.183, 0.304]",-0.15651479202171634,
CLX,5,"(0.304, 3.693]",-0.23037200385668505,
CLX,6,"(-0.586, -0.259]",,0.27637475121888727
CLX,7,"(-0.259, -0.19]",,0.2553540494699819
CLX,8,"(-0.19, -0.135]",,0.21088814478922235
CLX,9,"(-0.135, -0.0877]",,0.18401456626339568
CLX,10,"(-0.0877, -0.0424]",,0.1655263403792687
CLX,11,"(-0.0424, 0.0]",,0.1528718738348704
CMA,0,"(-0.001, 0.0303]",-0.09763938817420588,
CMA,1,"(0.0303, 0.0919]",-0.12117503470656386,
CMA,2,"(0.0919, 0.152]",-0.13692675655282796,
CMA,3,"(0.152, 0.22]",-0.15546506258887963,
CMA,4,"(0.22, 0.338]",-0.1805234568391913,
CMA,5,"(0.338, 4.995]",-0.22061513818740922,
CMA,6,"(-0.621, -0.279]",,0.3198796396200011
CMA,7,"(-0.279, -0.209]",,0.2533422197507544
CMA,8,"(-0.209, -0.152]",,0.21528853359740294
CMA,9,"(-0.152, -0.0988]",,0.2178697218122667
CMA,10,"(-0.0988, -0.0433]",,0.20123855892853398
CMA,11,"(-0.0433, 0.0]",,0.20602623401285908
CMCSA,0,"(-0.001, 0.0357]",-0.0937888122115483,
CMCSA,1,"(0.0357, 0.0921]",-0.1192588721245802,
CMCSA,2,"(0.0921, 0.153]",-0.14150665634571644,
CMCSA,3,"(0.153, 0.229]",-0.15684575372879758,
CMCSA,4,"(0.229, 0.337]",-0.17507702544040274,
CMCSA,5,"(0.337, 3.799]",-0.22678008030041236,
CMCSA,6,"(-0.605, -0.28]",,0.29613812237823445
CMCSA,7,"(-0.28, -0.21]",,0.2472069280978981
CMCSA,8,"(-0.21, -0.156]",,0.24411617258474766
CMCSA,9,"(-0.156, -0.101]",,0.20974769176074387
CMCSA,10,"(-0.101, -0.0457]",,0.1901552280634698
CMCSA,11,"(-0.0457, 0.0]",,0.2116933770901645
CMI,0,"(-0.001, 0.0339]",-0.09027928362167513,
CMI,1,"(0.0339, 0.0878]",-0.10558495989490398,
CMI,2,"(0.0878, 0.142]",-0.1180790365604251,
CMI,3,"(0.142, 0.212]",-0.1324472840743301,
CMI,4,"(0.212, 0.325]",-0.177180035878644,
CMI,5,"(0.325, 2.801]",-0.2375133150395476,
CMI,6,"(-0.607, -0.268]",,0.3007738190719923
CMI,7,"(-0.268, -0.197]",,0.2420166669028812
CMI,8,"(-0.197, -0.143]",,0.1982616290792462
CMI,9,"(-0.143, -0.0924]",,0.18039551700473067
CMI,10,"(-0.0924, -0.0372]",,0.16811410464818216
CMI,11,"(-0.0372, 0.0]",,0.164858714687754
CMS,0,"(-0.001, 0.0665]",-0.11060047742137287,
CMS,1,"(0.0665, 0.135]",-0.1430868113196426,
CMS,2,"(0.135, 0.211]",-0.17507555172166334,
CMS,3,"(0.211, 0.315]",-0.20525422823639736,
CMS,4,"(0.315, 0.512]",-0.2440725123674807,
CMS,5,"(0.512, 9.236]",-0.3630882766937574,
CMS,6,"(-0.904, -0.498]",,1.7364029635388463
CMS,7,"(-0.498, -0.336]",,0.6938145814562877
CMS,8,"(-0.336, -0.243]",,0.48431575926907366
CMS,9,"(-0.243, -0.161]",,0.49759401252826846
CMS,10,"(-0.161, -0.0814]",,0.47925409061231294
CMS,11,"(-0.0814, 0.0]",,0.43010408043270615
CNA,0,"(-0.001, 0.0375]",-0.09944227451468998,
CNA,1,"(0.0375, 0.0902]",-0.11247201275413256,
CNA,2,"(0.0902, 0.169]",-0.1572682839001548,
CNA,3,"(0.169, 0.3]",-0.1879129509281306,
CNA,4,"(0.3, 0.575]",-0.23124850869251165,
CNA,5,"(0.575, 7.712]",-0.4401158447750517,
CNA,6,"(-0.899, -0.516]",,1.7735559105568368
CNA,7,"(-0.516, -0.297]",,0.8399874101921199
CNA,8,"(-0.297, -0.193]",,0.3528018779771387
CNA,9,"(-0.193, -0.119]",,0.2328544813645787
CNA,10,"(-0.119, -0.0552]",,0.20748833984196263
CNA,11,"(-0.0552, 0.0]",,0.24196337203200155
CNHI,0,"(-0.001, 0.0496]",-0.08953229763113353,
CNHI,1,"(0.0496, 0.103]",-0.12244329299048129,
CNHI,2,"(0.103, 0.164]",-0.14101359206796452,
CNHI,3,"(0.164, 0.241]",-0.15906001326549307,
CNHI,4,"(0.241, 0.382]",-0.18964353881811943,
CNHI,5,"(0.382, 8.964]",-0.28997304541512303,
CNHI,6,"(-0.847, -0.366]",,0.8830642535671755
CNHI,7,"(-0.366, -0.254]",,0.4954807922089948
CNHI,8,"(-0.254, -0.179]",,0.37885413088754555
CNHI,9,"(-0.179, -0.118]",,0.27885403922918894
CNHI,10,"(-0.118, -0.0562]",,0.25325860489442154
CNHI,11,"(-0.0562, 0.0]",,0.19295022281756002
CNI,0,"(-0.001, 0.0354]",-0.08922198796946956,
CNI,1,"(0.0354, 0.0854]",-0.11188520034890735,
CNI,2,"(0.0854, 0.14]",-0.13010698554957306,
CNI,3,"(0.14, 0.202]",-0.14602415709704838,
CNI,4,"(0.202, 0.296]",-0.1730551218308547,
CNI,5,"(0.296, 3.838]",-0.1970154241498198,
CNI,6,"(-0.614, -0.257]",,0.26214562705347066
CNI,7,"(-0.257, -0.199]",,0.2492797211347426
CNI,8,"(-0.199, -0.145]",,0.2241262831872371
CNI,9,"(-0.145, -0.0981]",,0.21410158238078122
CNI,10,"(-0.0981, -0.0476]",,0.18048388376304222
CNI,11,"(-0.0476, 0.0]",,0.157337517161263
CNMD,0,"(-0.001, 0.0674]",-0.127412340033851,
CNMD,1,"(0.0674, 0.155]",-0.1636612852579648,
CNMD,2,"(0.155, 0.241]",-0.18799003427617575,
CNMD,3,"(0.241, 0.38]",-0.22085656919200847,
CNMD,4,"(0.38, 0.642]",-0.2689383613174593,
CNMD,5,"(0.642, 6.3]",-0.3884823777164988,
CNMD,6,"(-0.872, -0.429]",,0.929391244602318
CNMD,7,"(-0.429, -0.299]",,0.47672717874173265
CNMD,8,"(-0.299, -0.219]",,0.38675720801919755
CNMD,9,"(-0.219, -0.146]",,0.3305710318266769
CNMD,10,"(-0.146, -0.0801]",,0.2735148817326055
CNMD,11,"(-0.0801, 0.0]",,0.2106182476827814
CNP,0,"(-0.001, 0.0603]",-0.12268460792847902,
CNP,1,"(0.0603, 0.14]",-0.14860171963354246,
CNP,2,"(0.14, 0.222]",-0.17778107710928923,
CNP,3,"(0.222, 0.32]",-0.2048362396632979,
CNP,4,"(0.32, 0.49]",-0.23336859545295466,
CNP,5,"(0.49, 10.59]",-0.3316766990628702,
CNP,6,"(-0.9, -0.398]",,0.9163616475544536
CNP,7,"(-0.398, -0.282]",,0.5808928599692446
CNP,8,"(-0.282, -0.213]",,0.39685009337864646
CNP,9,"(-0.213, -0.151]",,0.34772117387953516
CNP,10,"(-0.151, -0.0827]",,0.3483296784625997
CNP,11,"(-0.0827, 0.0]",,0.3141169933560968
COF,0,"(-0.001, 0.0278]",-0.09199173672207545,
COF,1,"(0.0278, 0.0777]",-0.10580776326373918,
COF,2,"(0.0777, 0.132]",-0.12054834999232797,
COF,3,"(0.132, 0.205]",-0.1519031974974005,
COF,4,"(0.205, 0.333]",-0.18176731578965527,
COF,5,"(0.333, 4.987]",-0.23892973718917934,
COF,6,"(-0.543, -0.284]",,0.2943124068744281
COF,7,"(-0.284, -0.209]",,0.2477316441552011
COF,8,"(-0.209, -0.15]",,0.2319380138002863
COF,9,"(-0.15, -0.0977]",,0.21801321681105895
COF,10,"(-0.0977, -0.0434]",,0.19558804231006977
COF,11,"(-0.0434, 0.0]",,0.2211896747904407
COHR,0,"(-0.001, 0.0537]",-0.11418122856320354,
COHR,1,"(0.0537, 0.128]",-0.13844998903804,
COHR,2,"(0.128, 0.21]",-0.1662430103940814,
COHR,3,"(0.21, 0.322]",-0.19169282356319964,
COHR,4,"(0.322, 0.557]",-0.24916821503425607,
COHR,5,"(0.557, 3.637]",-0.3769128642912243,
COHR,6,"(-0.81, -0.393]",,0.6313016613656841
COHR,7,"(-0.393, -0.259]",,0.43847090330320826
COHR,8,"(-0.259, -0.19]",,0.32353127439581636
COHR,9,"(-0.19, -0.124]",,0.2649655788363614
COHR,10,"(-0.124, -0.0517]",,0.240844819893028
COHR,11,"(-0.0517, 0.0]",,0.21025736470505507
COHU,0,"(-0.001, 0.068]",-0.10534125301089216,
COHU,1,"(0.068, 0.147]",-0.13368810399255684,
COHU,2,"(0.147, 0.222]",-0.16924527832853078,
COHU,3,"(0.222, 0.34]",-0.20541067751578054,
COHU,4,"(0.34, 0.547]",-0.24786752938677348,
COHU,5,"(0.547, 8.968]",-0.46442163758325006,
COHU,6,"(-0.903, -0.493]",,2.2255059392550436
COHU,7,"(-0.493, -0.3]",,0.5707176271260936
COHU,8,"(-0.3, -0.209]",,0.3881693524017769
COHU,9,"(-0.209, -0.136]",,0.32321770185613935
COHU,10,"(-0.136, -0.062]",,0.29121662566074735
COHU,11,"(-0.062, 0.0]",,0.2495293970554822
COO,0,"(-0.001, 0.0382]",-0.09337001604679789,
COO,1,"(0.0382, 0.0986]",-0.1175622614916607,
COO,2,"(0.0986, 0.164]",-0.1399759446429221,
COO,3,"(0.164, 0.264]",-0.17842522012605253,
COO,4,"(0.264, 0.425]",-0.21710293972723682,
COO,5,"(0.425, 2.484]",-0.2739013086683687,
COO,6,"(-0.618, -0.32]",,0.3341016276267715
COO,7,"(-0.32, -0.235]",,0.3028967675265489
COO,8,"(-0.235, -0.167]",,0.2389047341896088
COO,9,"(-0.167, -0.0993]",,0.21074230512648193
COO,10,"(-0.0993, -0.0323]",,0.2099360046703452
COO,11,"(-0.0323, 0.0]",,0.23744361856136043
COP,0,"(-0.001, 0.0369]",-0.09296550246829748,
COP,1,"(0.0369, 0.0891]",-0.10592836752298072,
COP,2,"(0.0891, 0.142]",-0.1276809411679301,
COP,3,"(0.142, 0.205]",-0.14717947644876211,
COP,4,"(0.205, 0.31]",-0.17205098745439498,
COP,5,"(0.31, 4.574]",-0.21683929093746393,
COP,6,"(-0.58, -0.262]",,0.2705240954023246
COP,7,"(-0.262, -0.196]",,0.2110880275100207
COP,8,"(-0.196, -0.146]",,0.21370844316582913
COP,9,"(-0.146, -0.0976]",,0.24488903561790815
COP,10,"(-0.0976, -0.0463]",,0.20952254399301684
COP,11,"(-0.0463, 0.0]",,0.19397002643588585
COST,0,"(-0.001, 0.0346]",-0.09307438041910471,
COST,1,"(0.0346, 0.086]",-0.10153510350268402,
COST,2,"(0.086, 0.143]",-0.11511306539777542,
COST,3,"(0.143, 0.214]",-0.1415506130475263,
COST,4,"(0.214, 0.334]",-0.18673412366805242,
COST,5,"(0.334, 2.603]",-0.24005951392500774,
COST,6,"(-0.676, -0.283]",,0.29601513578684197
COST,7,"(-0.283, -0.204]",,0.24351074751210133
COST,8,"(-0.204, -0.143]",,0.22924638384150278
COST,9,"(-0.143, -0.0924]",,0.20486193915938147
COST,10,"(-0.0924, -0.0399]",,0.1941434605940036
COST,11,"(-0.0399, 0.0]",,0.21243812630077005
CPB,0,"(-0.001, 0.0471]",-0.08317057772566706,
CPB,1,"(0.0471, 0.105]",-0.11767527221146394,
CPB,2,"(0.105, 0.165]",-0.14717741759557598,
CPB,3,"(0.165, 0.236]",-0.1631635587753579,
CPB,4,"(0.236, 0.361]",-0.18725328486798937,
CPB,5,"(0.361, 1.941]",-0.2536345059074803,
CPB,6,"(-0.581, -0.306]",,0.3569971140322807
CPB,7,"(-0.306, -0.228]",,0.2681816012249145
CPB,8,"(-0.228, -0.163]",,0.2418144374763095
CPB,9,"(-0.163, -0.105]",,0.22098805052594947
CPB,10,"(-0.105, -0.045]",,0.21134784172787918
CPB,11,"(-0.045, 0.0]",,0.2139875680916315
CPPRQ,0,"(-0.001, 0.0366]",-0.09465861154163405,
CPPRQ,1,"(0.0366, 0.0927]",-0.10929835437696381,
CPPRQ,2,"(0.0927, 0.151]",-0.1266507040378681,
CPPRQ,3,"(0.151, 0.217]",-0.1316890763823646,
CPPRQ,4,"(0.217, 0.339]",-0.15549304449125728,
CPPRQ,5,"(0.339, 2.259]",-0.23878224380086352,
CPPRQ,6,"(-0.716, -0.278]",,0.3527433843084177
CPPRQ,7,"(-0.278, -0.196]",,0.24375236454054836
CPPRQ,8,"(-0.196, -0.135]",,0.18330077611461926
CPPRQ,9,"(-0.135, -0.0855]",,0.1948862488259091
CPPRQ,10,"(-0.0855, -0.032]",,0.18886271633194035
CPPRQ,11,"(-0.032, 0.0]",,0.1864683118802091
CPRT,0,"(-0.001, 0.0412]",-0.09436458938106378,
CPRT,1,"(0.0412, 0.11]",-0.12585453551002793,
CPRT,2,"(0.11, 0.182]",-0.15659722800252263,
CPRT,3,"(0.182, 0.28]",-0.18186763198052225,
CPRT,4,"(0.28, 0.428]",-0.2210340758515087,
CPRT,5,"(0.428, 2.987]",-0.3028945614042156,
CPRT,6,"(-0.73, -0.359]",,0.461918004402734
CPRT,7,"(-0.359, -0.261]",,0.3447139891498215
CPRT,8,"(-0.261, -0.191]",,0.314705010593979
CPRT,9,"(-0.191, -0.124]",,0.2750044901507101
CPRT,10,"(-0.124, -0.0492]",,0.2610756005662073
CPRT,11,"(-0.0492, 0.0]",,0.2336520002085119
CRUS,0,"(-0.001, 0.0396]",-0.08908923339105827,
CRUS,1,"(0.0396, 0.103]",-0.11107259985222587,
CRUS,2,"(0.103, 0.18]",-0.14009142704794042,
CRUS,3,"(0.18, 0.271]",-0.1728385032397112,
CRUS,4,"(0.271, 0.414]",-0.21251255213140166,
CRUS,5,"(0.414, 1.826]",-0.27880155905481924,
CRUS,6,"(-0.567, -0.318]",,0.3728287379172583
CRUS,7,"(-0.318, -0.222]",,0.2551971646276985
CRUS,8,"(-0.222, -0.152]",,0.2271527631848064
CRUS,9,"(-0.152, -0.0932]",,0.19410471631550322
CRUS,10,"(-0.0932, -0.0372]",,0.1806605578089867
CRUS,11,"(-0.0372, 0.0]",,0.16967783718616877
CSCO,0,"(-0.001, 0.0363]",-0.0957878446518864,
CSCO,1,"(0.0363, 0.11]",-0.11228314356753338,
CSCO,2,"(0.11, 0.191]",-0.14881769045260307,
CSCO,3,"(0.191, 0.299]",-0.1797159614851384,
CSCO,4,"(0.299, 0.46]",-0.22471126394830654,
CSCO,5,"(0.46, 4.071]",-0.325931171147365,
CSCO,6,"(-0.614, -0.364]",,0.4311085019266171
CSCO,7,"(-0.364, -0.266]",,0.3295948755935106
CSCO,8,"(-0.266, -0.176]",,0.26249197638928146
CSCO,9,"(-0.176, -0.096]",,0.24774161848712792
CSCO,10,"(-0.096, -0.029]",,0.22960647970016837
CSCO,11,"(-0.029, 0.0]",,0.22638539717230724
CSGS,0,"(-0.001, 0.0523]",-0.10016042976844843,
CSGS,1,"(0.0523, 0.122]",-0.12595998176564108,
CSGS,2,"(0.122, 0.201]",-0.14912014439605034,
CSGS,3,"(0.201, 0.337]",-0.19426591349251685,
CSGS,4,"(0.337, 0.65]",-0.2720941294121073,
CSGS,5,"(0.65, 9.59]",-0.4689322231915333,
CSGS,6,"(-0.884, -0.466]",,1.1751652068544522
CSGS,7,"(-0.466, -0.294]",,0.6262739926729393
CSGS,8,"(-0.294, -0.199]",,0.3841305886953051
CSGS,9,"(-0.199, -0.127]",,0.3204717342467003
CSGS,10,"(-0.127, -0.0537]",,0.2581385331215403
CSGS,11,"(-0.0537, 0.0]",,0.21974042131393687
CSX,0,"(-0.001, 0.0359]",-0.07735687637689057,
CSX,1,"(0.0359, 0.0891]",-0.10493658250000916,
CSX,2,"(0.0891, 0.149]",-0.12520242379084343,
CSX,3,"(0.149, 0.218]",-0.1440791702323555,
CSX,4,"(0.218, 0.322]",-0.1759812371554523,
CSX,5,"(0.322, 3.405]",-0.2355663908137156,
CSX,6,"(-0.592, -0.266]",,0.3007977439566251
CSX,7,"(-0.266, -0.201]",,0.26065389461485117
CSX,8,"(-0.201, -0.143]",,0.2294095064987652
CSX,9,"(-0.143, -0.0963]",,0.1953579234623052
CSX,10,"(-0.0963, -0.0434]",,0.15952026836664637
CSX,11,"(-0.0434, 0.0]",,0.15353855477971132
CTAS,0,"(-0.001, 0.0378]",-0.10115209823864099,
CTAS,1,"(0.0378, 0.0935]",-0.12530022483528094,
CTAS,2,"(0.0935, 0.163]",-0.15070191402637523,
CTAS,3,"(0.163, 0.269]",-0.17754022131674377,
CTAS,4,"(0.269, 0.423]",-0.20344432871822826,
CTAS,5,"(0.423, 3.53]",-0.25297068915359355,
CTAS,6,"(-0.624, -0.313]",,0.37105572841418577
CTAS,7,"(-0.313, -0.239]",,0.27808349013146333
CTAS,8,"(-0.239, -0.174]",,0.25135455527117045
CTAS,9,"(-0.174, -0.118]",,0.22814115111054406
CTAS,10,"(-0.118, -0.0484]",,0.20706487968051895
CTAS,11,"(-0.0484, 0.0]",,0.23360691393767322
CTB,0,"(-0.001, 0.0459]",-0.09658079150972147,
CTB,1,"(0.0459, 0.102]",-0.1252596022223593,
CTB,2,"(0.102, 0.166]",-0.14467450074781374,
CTB,3,"(0.166, 0.257]",-0.16949410226486436,
CTB,4,"(0.257, 0.404]",-0.19514368426790496,
CTB,5,"(0.404, 7.953]",-0.27010956578653433,
CTB,6,"(-0.89, -0.304]",,0.35462980803451416
CTB,7,"(-0.304, -0.224]",,0.28578737960919826
CTB,8,"(-0.224, -0.16]",,0.23667232756943987
CTB,9,"(-0.16, -0.103]",,0.22842944230097767
CTB,10,"(-0.103, -0.0414]",,0.23333110783067587
CTB,11,"(-0.0414, 0.0]",,0.20323550513010702
CTXS,0,"(-0.001, 0.0347]",-0.08275927654901276,
CTXS,1,"(0.0347, 0.0905]",-0.10166390537120336,
CTXS,2,"(0.0905, 0.154]",-0.12331128296511078,
CTXS,3,"(0.154, 0.227]",-0.15989286881464357,
CTXS,4,"(0.227, 0.362]",-0.18647461317294886,
CTXS,5,"(0.362, 3.23]",-0.2859401847114129,
CTXS,6,"(-0.561, -0.323]",,0.2986352788847784
CTXS,7,"(-0.323, -0.235]",,0.29979555659593005
CTXS,8,"(-0.235, -0.161]",,0.27331874570770864
CTXS,9,"(-0.161, -0.0956]",,0.23271154423255105
CTXS,10,"(-0.0956, -0.0327]",,0.19762102682432364
CTXS,11,"(-0.0327, 0.0]",,0.17330460955411547
CVS,0,"(-0.001, 0.0317]",-0.09041326899686558,
CVS,1,"(0.0317, 0.0866]",-0.11163744083550013,
CVS,2,"(0.0866, 0.146]",-0.11906831024271824,
CVS,3,"(0.146, 0.229]",-0.15184776104571882,
CVS,4,"(0.229, 0.339]",-0.18145456936752896,
CVS,5,"(0.339, 2.674]",-0.23542803168714738,
CVS,6,"(-0.576, -0.284]",,0.28011617938622674
CVS,7,"(-0.284, -0.214]",,0.263938342901341
CVS,8,"(-0.214, -0.158]",,0.2345240977725669
CVS,9,"(-0.158, -0.102]",,0.21465858365646062
CVS,10,"(-0.102, -0.0403]",,0.1912138024470818
CVS,11,"(-0.0403, 0.0]",,0.1797243510371733
CVX,0,"(-0.001, 0.0321]",-0.09244178913794718,
CVX,1,"(0.0321, 0.0838]",-0.10949475658784105,
CVX,2,"(0.0838, 0.139]",-0.12428819657261159,
CVX,3,"(0.139, 0.204]",-0.1440478555276865,
CVX,4,"(0.204, 0.313]",-0.16946348181522985,
CVX,5,"(0.313, 6.569]",-0.2224634241990235,
CVX,6,"(-0.68, -0.264]",,0.27934008445250347
CVX,7,"(-0.264, -0.2]",,0.23810055202373184
CVX,8,"(-0.2, -0.152]",,0.22402839228979077
CVX,9,"(-0.152, -0.105]",,0.2598008817728609
CVX,10,"(-0.105, -0.0515]",,0.20426450189711598
CVX,11,"(-0.0515, 0.0]",,0.20511857424566002
D,0,"(-0.001, 0.0377]",-0.0970448893099822,
D,1,"(0.0377, 0.0924]",-0.12072900302679312,
D,2,"(0.0924, 0.154]",-0.13087016281741592,
D,3,"(0.154, 0.24]",-0.16034391016417007,
D,4,"(0.24, 0.374]",-0.18684035772843427,
D,5,"(0.374, 6.052]",-0.26823817995816324,
D,6,"(-0.766, -0.298]",,0.43466985301312444
D,7,"(-0.298, -0.221]",,0.2747274209994692
D,8,"(-0.221, -0.166]",,0.2912798559903498
D,9,"(-0.166, -0.112]",,0.2188317239737985
D,10,"(-0.112, -0.0519]",,0.18999298520227897
D,11,"(-0.0519, 0.0]",,0.21221450431539113
DBD,0,"(-0.001, 0.037]",-0.0892433668478876,
DBD,1,"(0.037, 0.088]",-0.0961416852992206,
DBD,2,"(0.088, 0.148]",-0.11086921449437435,
DBD,3,"(0.148, 0.221]",-0.14788018116934876,
DBD,4,"(0.221, 0.361]",-0.18727801396232013,
DBD,5,"(0.361, 2.755]",-0.27689655158067034,
DBD,6,"(-0.678, -0.317]",,0.5047977292352156
DBD,7,"(-0.317, -0.223]",,0.3072340946939678
DBD,8,"(-0.223, -0.153]",,0.24000979877270215
DBD,9,"(-0.153, -0.0928]",,0.21236683868708042
DBD,10,"(-0.0928, -0.0398]",,0.18160312768204773
DBD,11,"(-0.0398, 0.0]",,0.18034400788089655
DDS,0,"(-0.001, 0.0377]",-0.08728420442989908,
DDS,1,"(0.0377, 0.0902]",-0.1067305558794288,
DDS,2,"(0.0902, 0.153]",-0.12869660713287992,
DDS,3,"(0.153, 0.238]",-0.13630267056713555,
DDS,4,"(0.238, 0.36]",-0.17605897321926994,
