,,index,rate_min_windows_future,rate_max_windows_future
ADM,10,"(-0.115, -0.0482]",,0.19681073000331736
ADM,11,"(-0.0482, 0.0]",,0.19578889114514847
ADP,0,"(-0.001, 0.035]",-0.09129992445266831,
ADP,1,"(0.035, 0.0882]",-0.10099027388673873,
ADP,2,"(0.0882, 0.147]",-0.11653633902964271,
ADP,3,"(0.147, 0.218]",-0.14652130048678938,
ADP,4,"(0.218, 0.336]",-0.18281961526933332,
ADP,5,"(0.336, 4.486]",-0.2554884184858591,
ADP,6,"(-0.569, -0.285]",,0.30173695300277253
ADP,7,"(-0.285, -0.214]",,0.25941726621917033
ADP,8,"(-0.214, -0.157]",,0.23596717433350506
ADP,9,"(-0.157, -0.0981]",,0.1948558530638942
ADP,10,"(-0.0981, -0.0412]",,0.20084027846047844
ADP,11,"(-0.0412, 0.0]",,0.1978402969140288
ADSK,0,"(-0.001, 0.0311]",-0.08529172881093097,
ADSK,1,"(0.0311, 0.0809]",-0.10580426484894088,
ADSK,2,"(0.0809, 0.138]",-0.12450039976245372,
ADSK,3,"(0.138, 0.224]",-0.13390058733466745,
ADSK,4,"(0.224, 0.361]",-0.18567799968986265,
ADSK,5,"(0.361, 1.543]",-0.26230279145120794,
ADSK,6,"(-0.554, -0.314]",,0.34661757584956204
ADSK,7,"(-0.314, -0.225]",,0.25572979797194806
ADSK,8,"(-0.225, -0.149]",,0.20617777863502845
ADSK,9,"(-0.149, -0.085]",,0.1954074943803112
ADSK,10,"(-0.085, -0.0262]",,0.1956323510558549
ADSK,11,"(-0.0262, 0.0]",,0.19517223980664777
ADTN,0,"(-0.001, 0.0301]",-0.07956841357701383,
ADTN,1,"(0.0301, 0.08]",-0.10349487275913324,
ADTN,2,"(0.08, 0.139]",-0.11662508704356347,
ADTN,3,"(0.139, 0.214]",-0.14060094257890515,
ADTN,4,"(0.214, 0.326]",-0.17620874708086395,
ADTN,5,"(0.326, 4.509]",-0.239754424950494,
ADTN,6,"(-0.669, -0.291]",,0.36459923663079147
ADTN,7,"(-0.291, -0.208]",,0.28354170662282085
ADTN,8,"(-0.208, -0.137]",,0.18977558856192694
ADTN,9,"(-0.137, -0.082]",,0.17899243299515383
ADTN,10,"(-0.082, -0.0326]",,0.16087663070602792
ADTN,11,"(-0.0326, 0.0]",,0.1531383288088958
AEE,0,"(-0.001, 0.0603]",-0.1139257024519659,
AEE,1,"(0.0603, 0.134]",-0.1519650286050335,
AEE,2,"(0.134, 0.217]",-0.17192758380101889,
AEE,3,"(0.217, 0.322]",-0.20026460158220147,
AEE,4,"(0.322, 0.507]",-0.2350619805261538,
AEE,5,"(0.507, 8.239]",-0.3510494576850933,
AEE,6,"(-0.907, -0.445]",,1.1520060772411973
AEE,7,"(-0.445, -0.311]",,0.5924880683969985
AEE,8,"(-0.311, -0.227]",,0.4739275196959533
AEE,9,"(-0.227, -0.154]",,0.42463869068519156
AEE,10,"(-0.154, -0.0751]",,0.3896507475183449
AEE,11,"(-0.0751, 0.0]",,0.30951284286276065
AEGN,0,"(-0.001, 0.0693]",-0.11873173727966051,
AEGN,1,"(0.0693, 0.151]",-0.15573652610768646,
AEGN,2,"(0.151, 0.254]",-0.1964506484393761,
AEGN,3,"(0.254, 0.395]",-0.22537972625524433,
AEGN,4,"(0.395, 0.693]",-0.2788336554748989,
AEGN,5,"(0.693, 79.564]",-0.46106231059302893,
AEGN,6,"(-0.986, -0.465]",,1.5010558565411534
AEGN,7,"(-0.465, -0.31]",,0.5899825084576981
AEGN,8,"(-0.31, -0.224]",,0.415547522579217
AEGN,9,"(-0.224, -0.157]",,0.3339446995238738
AEGN,10,"(-0.157, -0.0793]",,0.30106442696582364
AEGN,11,"(-0.0793, 0.0]",,0.24448195273794088
